メニュー名,内容説明,価格
オムライス,fried rice with a filling of ketchup-seasoned,¥900
大盛オムライス,fried rice and omelet with a filling of beef,¥1300
エビフライ,fried prawns,¥1100
ポークカツ,pork cutlet,¥1100
コーンスープ,corn soup,¥400
チキンナゲット,chicken nugget,¥400
たこ焼き,takoyaki(octopus ball),¥400
フライドポテト,french fries,¥350
チーズ＆クラッカー,cheese & cracker,¥350
サラダ,salad,¥200
ライス,rice,¥200
パン,bread,¥200
野菜盛り,,¥300
ケーキ,cake,¥450
ケーキセット,cake set with coffee or tea,¥550
ホットケーキ,pancake,¥350
ホットケーキセット,pancake set with coffee or tea or ice cream,¥550
ソフトクリーム,"ice cream: vanilla, green tea or chocolate",¥350
