メニュー名,内容説明,価格
本日のカルパッチョ,null,638円
サーモンとアボカドのクリーミーわさびソース,null,693円
マグロとイカのタルタル,null,693円
パリパリチキンの香ソースがけ,null,627円
ザンギ,null,528円
ラムの鉄板焼き,null,693円
焼豚マスタードソース,null,594円
ポテトフライ,null,440円
アンチョビポテト,null,506円
ポテマヨキムチ,null,484円
生ハムのブルスケッタ,null,638円
エビのマヨネーズ炒め,null,627円
エビチリ,null,693円
ふわふわタマゴのカニあんかけ,null,605円
中華豆腐,null,385円
麻婆豆腐,null,54円
春巻 3本,null,429円
ギョーザ 6つ,null,440円
わかさぎのフリッター揚げ,null,407円
馬刺し,null,858円
活ダユのちょいゆで,null,594円
丸ごと揚げニンニク,null,517円
若鶏の半身揚げ,null,858円
チーズの味噌漬け,null,539円
チーズ刺し,山わさびのせ,539円
甘エビの唐揚げ,わさび塩添え,484円
わさび枝豆,null,385円
山わさびたっぷり お漬物,null,385円
牛タン塩ネギわさガーリック,null,825円
ガーリックトースト,null,484円
ゴーヤの唐揚げ,null,462円
ゴーヤチャンプル,null,627円
シーフードのフライ盛合わせ,null,858円
白身魚のソテーマスタードソース,null,858円
ハンバーグステーキ,null,1375円
チーズハンバーグステーキ,null,1045円
和風ハンバーグステーキ,null,1375円
ポークステーキ,デミグラスソース,990円
ポークステーキ,ガーリックソース,990円
チーズポークステーキ,デミグラスソース,1045円
チキンソテー,デミグラスソース,935円
チキンソテー,ガーリックソース,935円
チーズチキンソテー,レモンソース,1045円
カルボナーラ,null,902円
たらこスパゲッティ,null,135円
めんたいこスパゲッティ,null,135円
スパゲッティジェノベーゼ,null,102円
キノコたっぷりペペロンチーノ,null,880円
ピッツァ マルゲリータ,null,1080円
五目ヤキソバ,null,192円
五目あんかけヤキソバ,null,792円
豚肉細切りあんかけヤキソバ,null,792円
チャーハン,null,660円
ザーサイとレタスのチャーハン,null,748円
オムライス,null,770円
デミオムライス,null,770円
あずま牛ステーキ弁当,null,2800円
ハンバーグとエビフライのMIX弁当,null,1200円
ハンバーグ弁当,null,1000円
MEGAハンバーグ弁当,null,1480円
ポークステーキ弁当,null,1100円
チキンステーキ弁当,null,450円
唐揚げ弁当,null,750円
エビチリ弁当,null,850円
エビマヨ弁当,null,850円
チキン南蛮弁当,null,850円
チキンカツおろしポン酢弁当,null,850円
幕の内弁当,前日12:00までご予約下さい,800円・1100円・1700円・2200円
